Environment,Partial Obs,Num Envs,Num Steps,FPS,Seed
NoisyCartPoleEasy,False,32,32,1533917,9
NoisyCartPoleEasy,False,64,32,2155026,9
NoisyCartPoleEasy,False,128,32,1710631,9
NoisyCartPoleEasy,False,256,32,2156649,9
NoisyCartPoleEasy,False,512,32,2350670,9
CountRecallEasy,False,2,32,103844,0
CountRecallEasy,False,4,32,210620,0
CountRecallEasy,False,8,32,324982,0
CountRecallEasy,False,16,32,641040,0
CountRecallEasy,False,32,32,1117317,0
CountRecallEasy,False,64,32,1451984,0
CountRecallEasy,False,128,32,1416896,0
CountRecallEasy,False,256,32,1681252,0
CountRecallEasy,False,512,32,1830908,0
CountRecallEasy,False,2,32,90749,1
CountRecallEasy,False,4,32,173970,1
CountRecallEasy,False,8,32,354721,1
CountRecallEasy,False,16,32,675734,1
CountRecallEasy,False,32,32,1162058,1
CountRecallEasy,False,64,32,1307647,1
CountRecallEasy,False,128,32,1474667,1
CountRecallEasy,False,256,32,1589845,1
CountRecallEasy,False,512,32,1853026,1
CountRecallEasy,False,2,32,86037,2
CountRecallEasy,False,4,32,170706,2
CountRecallEasy,False,8,32,328562,2
CountRecallEasy,False,16,32,646248,2
CountRecallEasy,False,32,32,1029474,2
CountRecallEasy,False,64,32,1293275,2
CountRecallEasy,False,128,32,1349664,2
CountRecallEasy,False,256,32,1646291,2
CountRecallEasy,False,512,32,1864843,2
CountRecallEasy,False,2,32,88417,3
CountRecallEasy,False,4,32,191398,3
CountRecallEasy,False,8,32,328261,3
CountRecallEasy,False,16,32,671089,3
CountRecallEasy,False,32,32,953378,3
CountRecallEasy,False,64,32,1311841,3
CountRecallEasy,False,128,32,1393000,3
CountRecallEasy,False,256,32,1710802,3
CountRecallEasy,False,512,32,1848490,3
CountRecallEasy,False,2,32,104981,4
CountRecallEasy,False,4,32,199877,4
CountRecallEasy,False,8,32,321672,4
CountRecallEasy,False,16,32,669833,4
CountRecallEasy,False,32,32,1138645,4
CountRecallEasy,False,64,32,1294835,4
CountRecallEasy,False,128,32,1439212,4
CountRecallEasy,False,256,32,1649531,4
CountRecallEasy,False,512,32,1833204,4
CountRecallEasy,False,2,32,90109,5
CountRecallEasy,False,4,32,203901,5
CountRecallEasy,False,8,32,321383,5
CountRecallEasy,False,16,32,667335,5
CountRecallEasy,False,32,32,915381,5
CountRecallEasy,False,64,32,1433806,5
CountRecallEasy,False,128,32,1461122,5
CountRecallEasy,False,256,32,1690516,5
CountRecallEasy,False,512,32,1821831,5
CountRecallEasy,False,2,32,97862,6
CountRecallEasy,False,4,32,168827,6
CountRecallEasy,False,8,32,331811,6
CountRecallEasy,False,16,32,606291,6
CountRecallEasy,False,32,32,1011771,6
CountRecallEasy,False,64,32,1488723,6
CountRecallEasy,False,128,32,1434405,6
CountRecallEasy,False,256,32,1678869,6
CountRecallEasy,False,512,32,1858338,6
CountRecallEasy,False,2,32,104940,7
CountRecallEasy,False,4,32,181069,7
CountRecallEasy,False,8,32,361529,7
CountRecallEasy,False,16,32,631056,7
CountRecallEasy,False,32,32,1090093,7
CountRecallEasy,False,64,32,1476441,7
CountRecallEasy,False,128,32,1475680,7
CountRecallEasy,False,256,32,1683558,7
CountRecallEasy,False,512,32,1859897,7
CountRecallEasy,False,2,32,90170,8
CountRecallEasy,False,4,32,186543,8
CountRecallEasy,False,8,32,360922,8
CountRecallEasy,False,16,32,601199,8
CountRecallEasy,False,32,32,987349,8
CountRecallEasy,False,64,32,1454442,8
CountRecallEasy,False,128,32,1407609,8
CountRecallEasy,False,256,32,1696693,8
CountRecallEasy,False,512,32,1842246,8
CountRecallEasy,False,2,32,106059,9
CountRecallEasy,False,4,32,204522,9
CountRecallEasy,False,8,32,365840,9
CountRecallEasy,False,16,32,692513,9
CountRecallEasy,False,32,32,983505,9
CountRecallEasy,False,64,32,1431417,9
CountRecallEasy,False,128,32,1390857,9
CountRecallEasy,False,256,32,1731580,9
CountRecallEasy,False,512,32,1868951,9
